NU_CNPJ_EMPRESA;NO_RAZAO_SOCIAL_EMPRESA;NO_PRODUTO;NU_PROCESSO;DS_TIPO_PRODUTO;DS_CATEGORIA_PRODUTO;DT_FINALIZACAO_PROCESSO;DT_VENCIMENTO_REGISTRO;ST_SITUACAO_REGISTRO
04041933000188;PHILIP MORRIS BRASIL INDÚSTRIA E COMÉRCIO LTDA.;PHILIP MORRIS (RED) KS E URY;25351178043201724;DERIVADOS DO TABACO;CIGARRO COM FILTRO;;05/17/2018 00:00:00;Inativo
04041933000188;PHILIP MORRIS BRASIL INDÚSTRIA E COMÉRCIO LTDA.;PHILIP MORRIS (SILVER) KS E CHL;25351568510201613;DERIVADOS DO TABACO;CIGARRO COM FILTRO;;01/30/2019 00:00:00;Inativo
04041933000188;PHILIP MORRIS BRASIL INDÚSTRIA E COMÉRCIO LTDA.;PHILIP MORRIS CAPS KS E CHL;25351480137201601;DERIVADOS DO TABACO;CIGARRO COM FILTRO;;01/30/2019 00:00:00;Inativo
04041933000188;PHILIP MORRIS BRASIL INDÚSTRIA E COMÉRCIO LTDA.;PHILIP MORRIS CAPS KS E PRY;25351706696201789;DERIVADOS DO TABACO;CIGARRO COM FILTRO;;02/14/2019 00:00:00;Inativo
04041933000188;PHILIP MORRIS BRASIL INDÚSTRIA E COMÉRCIO LTDA.;PHILIP MORRIS KRETEK CHILL MENTHOL KS;25351655964201289;DERIVADOS DO TABACO;CIGARRO COM FILTRO;;03/01/2014 00:00:00;Inativo
04041933000188;PHILIP MORRIS BRASIL INDÚSTRIA E COMÉRCIO LTDA.;PHILIP MORRIS KRETEK KS;25351656507201214;DERIVADOS DO TABACO;CIGARRO COM FILTRO;;03/01/2014 00:00:00;Inativo
04041933000188;PHILIP MORRIS BRASIL INDÚSTRIA E COMÉRCIO LTDA.;PHILIP MORRIS KS E PRY;25351720549201711;DERIVADOS DO TABACO;CIGARRO COM FILTRO;;02/26/2019 00:00:00;Inativo
07756070000113;Reality Cigars Comércio importação e exportação ltda. - epp;PHILLIES BLUNT;25351219199201085;DERIVADOS DO TABACO;CHARUTO;;07/26/2012 00:00:00;Inativo
07756070000113;Reality Cigars Comércio importação e exportação ltda. - epp;PHILLIES BLUNT CHOCOLATE;25351446517201197;DERIVADOS DO TABACO;CHARUTO;;10/31/2014 00:00:00;Inativo
07756070000113;Reality Cigars Comércio importação e exportação ltda. - epp;PHILLIES BLUNT COGNAC;25351446523201128;DERIVADOS DO TABACO;CHARUTO;;11/28/2014 00:00:00;Inativo
07756070000113;Reality Cigars Comércio importação e exportação ltda. - epp;PHILLIES BLUNT HONEY;25351446578201152;DERIVADOS DO TABACO;CHARUTO;;08/08/2013 00:00:00;Inativo
07756070000113;Reality Cigars Comércio importação e exportação ltda. - epp;PHILLIES TITAN;25351219017201078;DERIVADOS DO TABACO;CHARUTO;;07/08/2017 00:00:00;Inativo
17121200000103;RC PREMIUM COMERCIO IMPORTADORA E EXPORTADORA EIRELLI - EPP;PHILLIES TITAN;25351413784202388;DERIVADOS DO TABACO;CHARUTO;;11/06/2024 00:00:00;Ativo
07756070000113;Reality Cigars Comércio importação e exportação ltda. - epp;PHILLIES TITAN BLACK;25351446506201171;DERIVADOS DO TABACO;CHARUTO;;08/22/2013 00:00:00;Inativo
07756070000113;Reality Cigars Comércio importação e exportação ltda. - epp;PHILLIES TITAN CHOCOLATE;25351446584201168;DERIVADOS DO TABACO;CHARUTO;;08/10/2013 00:00:00;Inativo
07756070000113;Reality Cigars Comércio importação e exportação ltda. - epp;PHILLIES TITAN CHOCOLATE;25351068607201453;DERIVADOS DO TABACO;CHARUTO;;03/24/2019 00:00:00;Inativo
17121200000103;RC PREMIUM COMERCIO IMPORTADORA E EXPORTADORA EIRELLI - EPP;PHILLIES TITAN CHOCOLATE;25351694899202100;DERIVADOS DO TABACO;CHARUTO;;06/27/2025 00:00:00;Ativo
07756070000113;Reality Cigars Comércio importação e exportação ltda. - epp;PHILLIES TITAN COGNAC;25351446607201111;DERIVADOS DO TABACO;CHARUTO;;08/22/2013 00:00:00;Inativo
07756070000113;Reality Cigars Comércio importação e exportação ltda. - epp;PHILLIES TITAN COGNAC;25351068581201429;DERIVADOS DO TABACO;CHARUTO;;03/24/2021 00:00:00;Inativo
17121200000103;RC PREMIUM COMERCIO IMPORTADORA E EXPORTADORA EIRELLI - EPP;PHILLIES TITAN PINK;25351415543202373;DERIVADOS DO TABACO;CHARUTO;;11/20/2024 00:00:00;Ativo
12470901000126;EDUARDO LLERENA HERNANDEZ;PICHARDO RESERVA FAMILIAR SAN ANDRES;25351536362202037;DERIVADOS DO TABACO;CHARUTO;;08/17/2023 00:00:00;Inativo
12470901000126;EDUARDO LLERENA HERNANDEZ;PICHARDO RESERVA FAMILIAR SAN ANDRÉS;25351951942202484;DERIVADOS DO TABACO;CHARUTO;;04/15/2025 00:00:00;Ativo
02830480000143;CHABA- CHARUTOS DA BAHIA LTDA;PIMENTEL;25351276842201171;DERIVADOS DO TABACO;CHARUTO;;07/18/2012 00:00:00;Inativo
34443602000135;NORTE PIONEIRO INDÚSTRIA E COMERCIO DE FUMOS LTDA;PIONEIRO EXTRA;25351444931201985;DERIVADOS DO TABACO;CIGARRO DE PALHA;;11/09/2021 00:00:00;Inativo
34443602000135;NORTE PIONEIRO INDÚSTRIA E COMERCIO DE FUMOS LTDA;PIONEIRO EXTRA;25351621129202300;DERIVADOS DO TABACO;CIGARRO DE PALHA;;04/15/2025 00:00:00;Ativo
34443602000135;NORTE PIONEIRO INDÚSTRIA E COMERCIO DE FUMOS LTDA;PIONEIRO TRADICIONAL;25351444932201920;DERIVADOS DO TABACO;CIGARRO DE PALHA;;11/09/2021 00:00:00;Inativo
34443602000135;NORTE PIONEIRO INDÚSTRIA E COMERCIO DE FUMOS LTDA;PIONEIRO TRADICIONAL;25351621123202324;DERIVADOS DO TABACO;CIGARRO DE PALHA;;04/15/2025 00:00:00;Ativo
12821901000123;Orion Tobacco Industria e Comercio Ltda;PITHOS;25351252858202301;DERIVADOS DO TABACO;FUMO DESFIADO;;08/28/2024 00:00:00;Inativo
12778043000181;Brasitra Cigarros Indústria e Comércio Ltda;PLAY BLACK MENTHOL;25351401010201666;DERIVADOS DO TABACO;CIGARRO COM FILTRO;;11/07/2017 00:00:00;Inativo
12778043000181;Brasitra Cigarros Indústria e Comércio Ltda;PLAY ON;25351428678201476;DERIVADOS DO TABACO;CIGARRO COM FILTRO;;09/10/2016 00:00:00;Inativo
12778043000181;Brasitra Cigarros Indústria e Comércio Ltda;PLAY ON;25351106156201700;DERIVADOS DO TABACO;CIGARRO COM FILTRO;;05/17/2018 00:00:00;Inativo
12778043000181;Brasitra Cigarros Indústria e Comércio Ltda;PLAY ON RED;25351428611201471;DERIVADOS DO TABACO;CIGARRO COM FILTRO;;09/10/2016 00:00:00;Inativo
12778043000181;Brasitra Cigarros Indústria e Comércio Ltda;PLAY ON RED;25351106221201717;DERIVADOS DO TABACO;CIGARRO COM FILTRO;;05/17/2018 00:00:00;Inativo
33009911000139;SOUZA CRUZ LTDA;PLAZA SLS INTERNATIONAL;25351027111201922;DERIVADOS DO TABACO;CIGARRO COM FILTRO;;02/18/2020 00:00:00;Inativo
12778043000181;Brasitra Cigarros Indústria e Comércio Ltda;POKER;25351046078201930;DERIVADOS DO TABACO;CIGARRO COM FILTRO;;;Inativo
03221399000129;PORTO FARIA LTDA - ME;PORTO FARIA;25351188023201815;DERIVADOS DO TABACO;CIGARRO DE PALHA;;08/27/2019 00:00:00;Inativo
03221399000129;PORTO FARIA LTDA - ME;PORTO FARIA;25351433961201966;DERIVADOS DO TABACO;CIGARRO DE PALHA;;12/09/2020 00:00:00;Inativo
03221399000129;PORTO FARIA LTDA - ME;PORTO FARIA;25351060685202216;DERIVADOS DO TABACO;CIGARRO DE PALHA;;08/04/2023 00:00:00;Inativo
03221399000129;PORTO FARIA LTDA - ME;PORTO FARIA TRADICIONAL;25351426633202047;DERIVADOS DO TABACO;CIGARRO DE PALHA;;02/17/2022 00:00:00;Inativo
03221399000129;PORTO FARIA LTDA - ME;PORTO FARIA TRADICIONAL;25351551137202373;DERIVADOS DO TABACO;CIGARRO DE PALHA;;10/23/2024 00:00:00;Ativo
08751352000271;AMERICAN BLEND IMP., EXPORTAÇÃO, INDUSTRIA & COM. DE TABACOS LTDA;PRADO;25351010491201193;DERIVADOS DO TABACO;CIGARRO COM FILTRO;;02/19/2014 00:00:00;Inativo
22899501000194;JULIANA CAVATÃO;PRADO;25351476628202085;DERIVADOS DO TABACO;CIGARRO DE PALHA;;02/17/2022 00:00:00;Inativo
08751352000271;AMERICAN BLEND IMP., EXPORTAÇÃO, INDUSTRIA & COM. DE TABACOS LTDA;PRADO FILTRO BRANCO;25069620283201377;DERIVADOS DO TABACO;CIGARRO COM FILTRO;;02/19/2015 00:00:00;Inativo
22899501000194;JULIANA CAVATÃO;PRADO PALHEIROS;25351034171202469;DERIVADOS DO TABACO;CIGARRO DE PALHA;;04/22/2025 00:00:00;Ativo
05604076000140;ELBARAKA COMÉRCIO, IMPORTAÇÃO E EXPORTAÇÃO LTDA - EPP;PRINCE MOLASSES CAPUCINO;25351351041200878;DERIVADOS DO TABACO;FUMO PARA CACHIMBO;;12/30/2009 00:00:00;Inativo
18804581000180;CLEAN INDUSTRIA E COMERCIO DE CIGARROS LTDA;PROFESSIONAL CLEAN;25069047953201721;DERIVADOS DO TABACO;CIGARRO KRETEK;;07/03/2023 00:00:00;Inativo
